標的,年度,進場日,出場日,原因,出場價,損益,報酬率
華通,2025,2025-01-03,2025-01-09,跌破月線,67.7,-77709,-4.78
華通,2025,2025-05-08,2025-05-29,跌破月線,61.3,-3793,0.18
華通,2025,2025-07-11,2025-09-01,停利≥20%+跌10MA,75.8,886552,20.09
華通,2025,2025-12-15,2025-12-31,回測結束,93.1,-80819,-2.48
達麗,2025,2025-02-13,2025-03-06,跌破月線,42.67,-28863,-0.7
達麗,2025,2025-03-20,2025-04-01,跌破月線,45.24,-76199,-2.66
達麗,2025,2025-05-02,2025-05-15,跌破月線,45.29,-133746,-4.98
達麗,2025,2025-05-20,2025-05-29,跌破月線,47.62,-55862,-3.61
達麗,2025,2025-09-04,2025-09-26,跌破月線,48.9,-77122,-2.1
達麗,2025,2025-12-18,2025-12-31,回測結束,53.7,232151,7.19
啟碁,2025,2025-03-07,2025-03-10,跌破月線,143.5,-63466,-3.83
啟碁,2025,2025-08-04,2025-08-19,跌破月線,119.5,-106905,-4.09
啟碁,2025,2025-11-03,2025-11-06,8%硬停損,117.5,-123220,-8.33
M31,2025,2025-02-13,2025-03-04,8%硬停損,719.0,-147604,-8.94
M31,2025,2025-07-02,2025-07-04,跌破月線,508.0,-86053,-7.43
緯穎,2025,2025-01-06,2025-01-10,跌破月線,2535.0,-99749,-6.24
緯穎,2025,2025-05-02,2025-06-30,跌破月線,2530.0,610778,14.24
緯穎,2025,2025-07-31,2025-08-27,跌破月線,2985.0,137705,3.92
緯穎,2025,2025-10-03,2025-11-18,跌破月線,4130.0,259732,7.5
緯穎,2025,2025-12-05,2025-12-15,8%硬停損,4290.0,-161526,-8.56
南港,2025,2025-02-14,2025-03-06,跌破月線,45.5,-102522,-2.75
南港,2025,2025-05-02,2025-05-23,跌破月線,40.65,-112644,-3.1
南港,2025,2025-07-23,2025-07-31,跌破月線,37.5,-65573,-4.23
南港,2025,2025-08-25,2025-09-18,跌破月線,42.6,110537,5.63
南港,2025,2025-12-03,2025-12-17,跌破月線,37.5,-78191,-5.08
新美齊,2025,2025-02-12,2025-03-06,跌破月線,25.89,-92700,-2.41
新美齊,2025,2025-05-02,2025-05-23,跌破月線,24.51,-38333,-1.11
新美齊,2025,2025-07-29,2025-08-11,跌破月線,25.74,-53898,-1.26
新美齊,2025,2025-08-25,2025-09-08,跌破月線,26.38,-228529,-6.86
新美齊,2025,2025-12-03,2025-12-30,跌破月線,25.11,-97538,-2.85
世芯KY,2025,2025-02-07,2025-02-20,8%硬停損,3305.0,-241327,-9.07
世芯KY,2025,2025-05-13,2025-06-09,跌破月線,2725.0,-88234,-3.36
世芯KY,2025,2025-06-27,2025-08-20,跌破月線,3660.0,214246,5.67
世芯KY,2025,2025-11-06,2025-11-18,8%硬停損,3250.0,-176278,-11.57
定穎投控,2025,2025-02-14,2025-02-27,跌破月線,60.6,-51910,-3.18
定穎投控,2025,2025-05-13,2025-05-27,跌破月線,42.2,-89105,-5.62
定穎投控,2025,2025-06-25,2025-08-19,急跌>10%+放量,103.0,2314535,52.71
定穎投控,2025,2025-08-27,2025-09-02,8%硬停損,95.5,-640037,-15.02
定穎投控,2025,2025-11-12,2025-11-24,8%硬停損,108.5,-211835,-8.95
定穎投控,2025,2025-12-31,2025-12-31,回測結束,127.5,-12670,-0.14
廣達,2025,2025-04-28,2025-06-30,跌破月線,274.5,256568,6.88
廣達,2025,2025-09-18,2025-10-14,跌破月線,284.0,-21740,-0.1
廣達,2025,2025-12-05,2025-12-16,8%硬停損,273.0,-130653,-8.37
群聯,2025,2025-02-13,2025-03-24,跌破月線,571.0,-7008,0.24
群聯,2025,2025-05-20,2025-06-19,跌破月線,516.0,-16071,-0.34
群聯,2025,2025-09-10,2025-11-19,跌破月線,1120.0,610723,17.14
群聯,2025,2025-12-24,2025-12-31,回測結束,1450.0,128100,5.36
聯發科,2025,2025-02-03,2025-02-27,跌破月線,1515.0,-20220,-0.35
聯發科,2025,2025-07-09,2025-07-29,跌破月線,1360.0,-62104,-2.11
聯發科,2025,2025-09-09,2025-09-22,跌破月線,1405.0,-203532,-7.71
聯發科,2025,2025-12-10,2025-12-23,跌破月線,1390.0,-75643,-4.93
瀚宇博,2025,2025-02-11,2025-03-03,跌破月線,55.0,-44811,-2.62
瀚宇博,2025,2025-05-12,2025-06-13,跌破月線,60.3,106954,3.22
瀚宇博,2025,2025-07-21,2025-08-07,跌破月線,66.8,-74442,-1.52
瀚宇博,2025,2025-08-18,2025-09-12,跌破月線,79.1,37138,1.71
瀚宇博,2025,2025-09-19,2025-09-26,8%硬停損,88.5,-142952,-9.36
瀚宇博,2025,2025-11-03,2025-11-10,跌破月線,91.6,-110177,-7.04
瀚宇博,2025,2025-11-28,2025-12-02,急跌>10%+放量,101.0,-98805,-6.61
穎崴,2025,2025-05-12,2025-07-08,跌破月線,1125.0,82368,2.29
穎崴,2025,2025-08-14,2025-08-20,8%硬停損,1120.0,-131725,-10.17
穎崴,2025,2025-08-29,2025-10-07,停利≥20%+跌10MA,2125.0,472771,41.51
穎崴,2025,2025-10-27,2025-11-07,跌破月線,2380.0,-204042,-6.31
穎崴,2025,2025-11-28,2025-12-01,8%硬停損,2550.0,-179545,-10.02
穎崴,2025,2025-12-12,2025-12-17,8%硬停損,2570.0,-146229,-8.34
中磊,2025,2025-02-04,2025-03-07,跌破月線,129.5,-68704,-2.44
中磊,2025,2025-07-30,2025-08-20,跌破月線,100.5,-37132,-1.09
長科,2025,2025-02-03,2025-02-26,跌破月線,34.7,-54851,-1.02
長科,2025,2025-04-25,2025-05-07,跌破月線,34.3,-90137,-5.77
長科,2025,2025-08-29,2025-09-26,跌破月線,34.5,-45489,-1.01
長科,2025,2025-10-08,2025-11-25,跌破月線,41.55,81546,2.65
萬泰科,2025,2025-02-11,2025-03-24,跌破月線,38.95,136217,3.99
萬泰科,2025,2025-05-13,2025-06-19,跌破月線,40.4,-6857,0.28
萬泰科,2025,2025-08-04,2025-09-03,跌破月線,48.05,60651,2.03
萬泰科,2025,2025-10-28,2025-11-07,跌破月線,41.9,-209829,-7.45
萬泰科,2025,2025-12-16,2025-12-31,跌破月線,43.85,-125907,-4.56
鴻海,2025,2025-05-12,2025-06-02,跌破月線,152.5,-50925,-1.75
鴻海,2025,2025-06-24,2025-07-08,跌破月線,159.0,-51495,-1.69
鴻海,2025,2025-07-24,2025-09-01,跌破月線,198.5,271204,8.22
鴻海,2025,2025-09-25,2025-10-13,跌破月線,213.0,-109616,-7.52
鴻海,2025,2025-10-27,2025-11-14,跌破月線,241.0,-160517,-4.47
