標的,年度,進場日,出場日,原因,出場價,損益,報酬率
聯發科,2024,2024-02-23,2024-03-21,跌破月線,1160.0,78912,3.22
聯發科,2024,2024-05-15,2024-07-05,跌破月線,1380.0,459102,10.26
聯發科,2024,2024-10-14,2024-11-11,跌破月線,1300.0,-17613,-0.9
聯發科,2024,2024-12-11,2024-12-31,回測結束,1415.0,107132,4.56
聯發科,2025,2025-02-04,2025-03-03,跌破月線,1490.0,-74985,-2.51
聯發科,2025,2025-07-10,2025-07-30,跌破月線,1365.0,-89612,-3.24
聯發科,2025,2025-09-10,2025-09-23,8%硬停損,1390.0,-238827,-9.29
聯發科,2025,2025-12-11,2025-12-24,跌破月線,1395.0,-55431,-3.6
創意,2024,2024-05-21,2024-06-25,跌破月線,1535.0,-44720,-1.0
創意,2024,2024-10-22,2024-11-04,跌破月線,1185.0,-148964,-5.86
創意,2024,2024-12-13,2024-12-31,回測結束,1360.0,-5279,0.22
創意,2025,2025-02-18,2025-03-03,跌破月線,1315.0,-122851,-8.17
創意,2025,2025-05-05,2025-05-28,跌破月線,1135.0,-20321,-0.47
創意,2025,2025-09-10,2025-09-17,跌破月線,1315.0,-112836,-7.53
創意,2025,2025-10-09,2025-10-30,跌破月線,1480.0,-159409,-6.45
創意,2025,2025-11-07,2025-12-17,跌破月線,2040.0,306282,10.84
奇鋐,2024,2024-01-15,2024-03-27,跌破月線,541.0,386649,10.92
奇鋐,2024,2024-04-18,2024-04-23,8%硬停損,595.0,-242237,-8.87
奇鋐,2024,2024-05-24,2024-06-06,跌破月線,699.0,-14565,-0.71
奇鋐,2024,2024-10-14,2024-10-30,跌破月線,633.0,-108935,-3.72
奇鋐,2025,2025-05-05,2025-08-20,停利≥20%+跌10MA,1020.0,975475,18.83
奇鋐,2025,2025-10-29,2025-11-19,跌破月線,1355.0,-266215,-6.36
奇鋐,2025,2025-12-30,2025-12-31,回測結束,1510.0,-28855,-1.45
貿聯KY,2024,2024-05-22,2024-07-29,跌破月線,382.22,416770,13.27
貿聯KY,2024,2024-08-28,2024-09-03,8%硬停損,440.64,-137231,-6.84
貿聯KY,2024,2024-10-04,2024-10-07,8%硬停損,431.73,-158838,-8.05
貿聯KY,2024,2024-10-17,2024-10-30,跌破月線,449.06,-225421,-4.88
貿聯KY,2024,2024-11-07,2024-12-17,停利≥20%+跌10MA,679.29,898378,22.06
貿聯KY,2025,2025-02-12,2025-02-25,8%硬停損,637.7,-138349,-9.42
貿聯KY,2025,2025-04-25,2025-06-09,跌破月線,622.84,127711,3.83
貿聯KY,2025,2025-06-12,2025-07-23,跌破月線,832.0,315520,8.54
貿聯KY,2025,2025-08-14,2025-08-26,跌破月線,939.0,-65574,-6.14
貿聯KY,2025,2025-09-01,2025-09-03,8%硬停損,965.0,-85755,-7.79
貿聯KY,2025,2025-10-20,2025-11-27,跌破月線,1530.0,423515,14.07
群聯,2024,2024-02-16,2024-03-14,跌破月線,591.0,81515,2.68
群聯,2024,2024-03-28,2024-04-23,跌破月線,674.0,-212558,-5.62
群聯,2024,2024-06-14,2024-06-26,跌破月線,604.0,-49121,-3.5
群聯,2024,2024-12-03,2024-12-09,8%硬停損,446.0,-89334,-8.74
群聯,2024,2024-12-31,2024-12-31,回測結束,534.0,29808,3.34
群聯,2025,2025-02-14,2025-03-25,跌破月線,579.0,78909,2.87
群聯,2025,2025-05-21,2025-06-20,跌破月線,517.0,6920,0.71
群聯,2025,2025-09-11,2025-11-20,跌破月線,1190.0,901388,24.31
群聯,2025,2025-12-26,2025-12-31,回測結束,1450.0,131723,10.53
