標的,年度,進場日,出場日,原因,出場價,損益,報酬率
聯發科,2024,2024-02-22,2024-03-20,跌破月線,1130.0,29261,1.48
聯發科,2024,2024-05-14,2024-07-04,跌破月線,1375.0,451662,10.19
聯發科,2024,2024-10-11,2024-11-08,跌破月線,1280.0,-27511,-1.68
聯發科,2024,2024-12-10,2024-12-31,回測結束,1415.0,81296,3.57
聯發科,2025,2025-02-03,2025-02-27,跌破月線,1515.0,-20220,-0.35
聯發科,2025,2025-07-09,2025-07-29,跌破月線,1360.0,-62104,-2.11
聯發科,2025,2025-09-09,2025-09-22,跌破月線,1405.0,-203532,-7.71
聯發科,2025,2025-12-10,2025-12-23,跌破月線,1390.0,-75643,-4.93
創意,2024,2024-05-20,2024-06-24,跌破月線,1550.0,6447,0.65
創意,2024,2024-10-21,2024-11-01,跌破月線,1180.0,-186535,-7.37
創意,2024,2024-12-12,2024-12-31,回測結束,1360.0,12274,1.02
創意,2025,2025-02-17,2025-02-27,跌破月線,1340.0,-82940,-5.44
創意,2025,2025-05-02,2025-05-27,跌破月線,1115.0,-17918,-0.36
創意,2025,2025-09-09,2025-09-16,跌破月線,1315.0,-92808,-6.21
創意,2025,2025-10-08,2025-10-29,跌破月線,1470.0,-155363,-6.18
創意,2025,2025-11-06,2025-12-16,跌破月線,2020.0,240514,9.15
奇鋐,2024,2024-01-12,2024-03-26,跌破月線,541.0,393859,11.14
奇鋐,2024,2024-04-17,2024-04-22,8%硬停損,567.0,-381782,-14.08
奇鋐,2024,2024-05-23,2024-06-05,跌破月線,685.0,-48666,-3.39
奇鋐,2024,2024-10-11,2024-10-29,跌破月線,626.0,-130802,-4.56
奇鋐,2025,2025-05-02,2025-08-19,停利≥20%+跌10MA,1070.0,1949440,34.65
奇鋐,2025,2025-10-28,2025-11-18,跌破月線,1370.0,-186657,-4.24
奇鋐,2025,2025-12-29,2025-12-31,回測結束,1510.0,-43876,-2.4
貿聯KY,2024,2024-05-21,2024-07-26,跌破月線,378.26,374596,11.96
貿聯KY,2024,2024-08-27,2024-09-04,8%硬停損,411.93,-221839,-11.52
貿聯KY,2024,2024-10-01,2024-10-04,8%硬停損,427.28,-198399,-10.04
貿聯KY,2024,2024-10-16,2024-10-29,跌破月線,447.58,-208844,-5.11
貿聯KY,2024,2024-11-06,2024-12-16,停利≥20%+跌10MA,675.33,1078085,24.26
貿聯KY,2025,2025-02-11,2025-02-25,8%硬停損,627.8,-150133,-10.33
貿聯KY,2025,2025-04-24,2025-06-06,跌破月線,610.96,122615,3.43
貿聯KY,2025,2025-06-11,2025-07-22,跌破月線,818.0,210839,5.86
貿聯KY,2025,2025-08-13,2025-08-25,跌破月線,929.0,-65516,-6.2
貿聯KY,2025,2025-08-29,2025-09-01,8%硬停損,976.0,-104846,-9.34
貿聯KY,2025,2025-10-17,2025-11-26,跌破月線,1500.0,333649,11.45
群聯,2024,2024-02-15,2024-03-13,跌破月線,590.0,76226,2.54
群聯,2024,2024-03-27,2024-04-22,跌破月線,662.0,-270517,-7.29
群聯,2024,2024-06-13,2024-06-25,跌破月線,599.0,-59077,-4.3
群聯,2024,2024-12-02,2024-12-11,跌破月線,448.0,-67942,-4.41
群聯,2024,2024-12-30,2024-12-31,回測結束,534.0,11547,0.99
群聯,2025,2025-02-13,2025-03-24,跌破月線,571.0,-7008,0.24
群聯,2025,2025-05-20,2025-06-19,跌破月線,516.0,-16071,-0.34
群聯,2025,2025-09-10,2025-11-19,跌破月線,1120.0,610723,17.14
群聯,2025,2025-12-24,2025-12-31,回測結束,1450.0,128100,5.36
