標的,年度,進場日,出場日,原因,出場價,損益,報酬率
聯發科,2025,2025-02-03,2025-02-27,跌破月線,1515.0,-20220,-0.35
聯發科,2025,2025-07-09,2025-07-29,跌破月線,1360.0,-62104,-2.11
聯發科,2025,2025-09-09,2025-09-22,跌破月線,1405.0,-203532,-7.71
聯發科,2025,2025-12-10,2025-12-23,跌破月線,1390.0,-75643,-4.93
聯發科,2026,2026-01-23,2026-03-04,跌破月線,1720.0,-66530,-2.29
聯發科,2026,2026-04-21,2026-06-08,停利≥20%+跌10MA,4070.0,1119006,33.51
創意,2025,2025-02-17,2025-02-27,跌破月線,1340.0,-82940,-5.44
創意,2025,2025-05-02,2025-05-27,跌破月線,1115.0,-17918,-0.36
創意,2025,2025-09-09,2025-09-16,跌破月線,1315.0,-92808,-6.21
創意,2025,2025-10-08,2025-10-29,跌破月線,1470.0,-155363,-6.18
創意,2025,2025-11-06,2025-12-16,跌破月線,2020.0,240514,9.15
創意,2026,2026-01-06,2026-02-04,跌破月線,2530.0,-62440,-2.02
創意,2026,2026-04-14,2026-05-19,跌破月線,4465.0,65147,3.24
奇鋐,2025,2025-05-02,2025-08-19,停利≥20%+跌10MA,1070.0,1949440,34.65
奇鋐,2025,2025-10-28,2025-11-18,跌破月線,1370.0,-186657,-4.24
奇鋐,2025,2025-12-29,2025-12-31,回測結束,1510.0,-43876,-2.4
奇鋐,2026,2026-02-03,2026-05-05,停利≥20%+跌10MA,2705.0,834158,23.66
奇鋐,2026,2026-06-03,2026-06-05,8%硬停損,2600.0,-201027,-9.06
貿聯KY,2025,2025-02-11,2025-02-25,8%硬停損,627.8,-150133,-10.33
貿聯KY,2025,2025-04-24,2025-06-06,跌破月線,610.96,122615,3.43
貿聯KY,2025,2025-06-11,2025-07-22,跌破月線,818.0,210839,5.86
貿聯KY,2025,2025-08-13,2025-08-25,跌破月線,929.0,-65516,-6.2
貿聯KY,2025,2025-08-29,2025-09-01,8%硬停損,976.0,-104846,-9.34
貿聯KY,2025,2025-10-17,2025-11-26,跌破月線,1500.0,333649,11.45
貿聯KY,2026,2026-03-03,2026-05-12,停利≥20%+跌10MA,2775.0,857439,25.63
群聯,2025,2025-02-13,2025-03-24,跌破月線,571.0,-7008,0.24
群聯,2025,2025-05-20,2025-06-19,跌破月線,516.0,-16071,-0.34
群聯,2025,2025-09-10,2025-11-19,跌破月線,1120.0,610723,17.14
群聯,2025,2025-12-24,2025-12-31,回測結束,1450.0,128100,5.36
群聯,2026,2026-01-06,2026-02-03,急跌>10%+放量,1990.0,282407,8.0
群聯,2026,2026-04-28,2026-04-30,急跌>10%+放量,1900.0,-65371,-3.69
群聯,2026,2026-05-06,2026-05-20,8%硬停損,2265.0,-244493,-9.13
晶技,2025,2025-04-29,2025-05-27,跌破月線,91.8,24065,1.43
晶技,2025,2025-06-03,2025-06-16,8%硬停損,89.9,-237958,-9.21
晶技,2025,2025-09-16,2025-10-03,跌破月線,89.0,-185752,-7.33
晶技,2025,2025-12-11,2025-12-16,跌破月線,82.8,-58332,-4.08
晶技,2026,2026-04-09,2026-05-06,急跌>10%+放量,150.5,315365,20.03
晶技,2026,2026-05-26,2026-06-22,跌破月線,198.0,-234590,-7.86
力智,2025,2025-01-09,2025-01-20,跌破月線,221.0,-109896,-7.27
力智,2025,2025-04-29,2025-06-02,跌破月線,189.5,1803,0.5
力智,2025,2025-06-24,2025-07-01,跌破月線,202.0,-25790,-1.36
力智,2025,2025-07-17,2025-07-22,跌破月線,203.0,-73214,-5.28
力智,2025,2025-09-17,2025-10-08,跌破月線,205.0,-22211,-1.35
力智,2025,2025-12-03,2025-12-10,跌破月線,196.5,-94251,-3.77
力智,2026,2026-05-13,2026-06-08,跌破月線,219.5,-29746,-0.29
力智,2026,2026-06-24,2026-06-26,8%硬停損,266.0,-165499,-10.72
世芯KY,2025,2025-02-07,2025-02-20,8%硬停損,3305.0,-241327,-9.07
世芯KY,2025,2025-05-13,2025-06-09,跌破月線,2725.0,-88234,-3.36
世芯KY,2025,2025-06-27,2025-08-20,跌破月線,3660.0,214246,5.67
世芯KY,2025,2025-11-06,2025-11-18,8%硬停損,3250.0,-176278,-11.57
世芯KY,2026,2026-01-02,2026-01-15,8%硬停損,3320.0,-259760,-9.8
世芯KY,2026,2026-04-21,2026-05-19,跌破月線,4430.0,98007,4.68
辛耘,2025,2025-05-13,2025-06-02,跌破月線,274.5,-160752,-5.14
辛耘,2025,2025-06-12,2025-07-14,跌破月線,334.0,34501,1.62
辛耘,2025,2025-08-27,2025-09-11,跌破月線,368.5,-104403,-4.96
辛耘,2025,2025-12-11,2025-12-18,跌破月線,319.0,-77558,-5.34
辛耘,2025,2025-12-29,2025-12-31,回測結束,334.0,-11815,-0.44
辛耘,2026,2026-01-02,2026-01-16,跌破月線,331.0,-164123,-4.82
辛耘,2026,2026-02-26,2026-03-04,8%硬停損,339.5,-100588,-8.62
辛耘,2026,2026-03-16,2026-04-27,停利≥20%+跌10MA,736.0,936342,23.51
