ticker,year,entry_date,exit_date,reason,exit_price,shares,pnl,return_pct
AMKR,2023,2023-01-09,2023-02-10,ATR_stop,27.59,339,-970.86,-9.41
AMKR,2023,2023-06-27,2023-07-06,ATR_stop,27.48,143,-272.91,-6.49
AMKR,2023,2023-12-12,2023-12-29,period_end,33.25,345,709.36,6.59
AMKR,2024,2024-03-04,2024-03-11,ATR_stop,33.53,282,-205.98,-2.13
AMKR,2024,2024-05-15,2024-06-04,ATR_stop,31.54,114,-256.8,-6.67
AMKR,2024,2024-06-17,2024-07-17,ATR_stop,41.2,233,137.39,1.45
AMKR,2025,2025-09-08,2025-10-10,ATR_stop,28.25,328,1108.93,13.6
AMKR,2025,2025-10-27,2025-11-13,ATR_stop,31.93,181,-582.86,-9.16
AMKR,2025,2025-12-01,2025-12-16,ATR_stop,40.26,168,-133.73,-1.94
AVGO,2023,2023-01-06,2023-02-21,ATR_stop,58.12,175,-201.9,-1.95
AVGO,2023,2023-03-03,2023-04-26,below_EMA50,61.59,180,-335.32,-2.94
AVGO,2023,2023-05-17,2023-08-04,profit_lock,88.12,147,3126.74,31.82
AVGO,2023,2023-08-31,2023-09-07,ATR_stop,85.66,60,-400.5,-7.23
AVGO,2023,2023-10-12,2023-10-20,ATR_stop,85.32,74,-391.09,-5.83
AVGO,2023,2023-11-07,2023-11-28,ATR_stop,94.59,128,530.69,4.58
AVGO,2023,2023-12-11,2023-12-29,period_end,111.57,105,708.56,6.44
AVGO,2024,2024-01-19,2024-01-31,ATR_stop,117.94,91,-461.3,-4.12
AVGO,2024,2024-02-09,2024-03-08,ATR_stop,130.81,73,-195.44,-2.01
AVGO,2024,2024-05-15,2024-05-31,ATR_stop,132.79,33,-359.71,-7.59
AVGO,2024,2024-06-12,2024-06-21,ATR_stop,165.78,45,341.44,4.8
AVGO,2024,2024-08-15,2024-09-03,below_EMA50,152.71,15,-202.49,-8.12
AVGO,2024,2024-09-20,2024-10-23,ATR_stop,173.42,41,-139.49,-1.92
AVGO,2024,2024-12-11,2024-12-18,ATR_stop,223.51,32,745.86,11.64
AVGO,2025,2025-01-21,2025-01-27,ATR_stop,202.03,18,-691.22,-15.97
AVGO,2025,2025-05-13,2025-06-09,ATR_stop,244.16,34,343.43,4.32
AVGO,2025,2025-06-24,2025-08-19,ATR_stop,294.76,28,637.91,8.38
AVGO,2025,2025-09-05,2025-09-22,ATR_stop,338.62,20,-206.32,-2.96
AVGO,2025,2025-10-28,2025-11-04,ATR_stop,351.76,19,-523.61,-7.27
AVGO,2025,2025-11-25,2025-12-12,ATR_stop,359.75,22,-904.97,-10.26
COHR,2023,2023-06-16,2023-06-21,ATR_stop,46.85,46,-370.34,-14.67
COHR,2023,2023-12-26,2023-12-29,period_end,43.51,94,-182.78,-4.28
COHR,2024,2024-01-16,2024-02-20,ATR_stop,56.75,139,1564.18,24.73
COHR,2024,2024-03-04,2024-03-14,ATR_stop,59.7,57,-411.73,-10.79
COHR,2024,2024-05-23,2024-07-18,ATR_stop,74.49,136,1166.17,13.01
COHR,2024,2024-08-16,2024-09-03,ATR_stop,71.84,32,-154.38,-6.29
COHR,2024,2024-09-18,2024-10-22,ATR_stop,96.72,86,990.16,13.51
COHR,2024,2024-11-07,2024-11-14,ATR_stop,99.96,73,-715.58,-8.93
COHR,2024,2024-12-04,2024-12-10,ATR_stop,100.16,31,-369.4,-10.63
COHR,2025,2025-06-26,2025-08-14,ATR_stop,91.6,97,-564.18,-5.97
COHR,2025,2025-09-15,2025-10-14,ATR_stop,109.32,79,-312.64,-3.49
COHR,2025,2025-10-24,2025-11-13,ATR_stop,139.9,46,-44.27,-0.68
COHR,2025,2025-12-04,2025-12-16,ATR_stop,175.11,33,-337.24,-5.51
CRWD,2023,2023-05-19,2023-06-07,ATR_stop,37.29,223,8.12,0.1
CRWD,2023,2023-06-15,2023-06-21,ATR_stop,35.94,90,-362.52,-10.08
CRWD,2023,2023-07-31,2023-08-04,ATR_stop,37.6,180,-601.09,-8.16
CRWD,2023,2023-08-21,2023-08-24,below_EMA50,36.34,96,-206.39,-5.59
CRWD,2023,2023-08-31,2023-09-25,ATR_stop,39.96,89,-72.79,-2.01
CRWD,2023,2023-10-02,2023-10-25,ATR_stop,43.82,199,137.1,1.6
CRWD,2023,2023-11-03,2023-12-29,period_end,63.8,132,2131.09,33.88
CRWD,2024,2024-01-09,2024-02-21,ATR_stop,73.05,121,417.26,4.95
CRWD,2024,2024-03-06,2024-04-04,below_EMA50,77.26,32,-165.6,-6.28
CRWD,2024,2024-05-10,2024-05-30,ATR_stop,78.94,101,-233.58,-2.85
CRWD,2024,2024-06-10,2024-07-16,ATR_stop,92.22,33,-48.61,-1.57
CRWD,2024,2024-11-07,2024-11-27,ATR_stop,86.85,101,284.87,3.36
CRWD,2024,2024-12-13,2024-12-18,ATR_stop,87.25,86,-609.62,-7.51
CRWD,2025,2025-01-06,2025-01-13,below_EMA50,85.32,41,-258.85,-6.89
CRWD,2025,2025-01-28,2025-02-21,ATR_stop,101.62,70,-151.92,-2.09
CRWD,2025,2025-04-24,2025-07-11,ATR_stop,119.55,65,694.95,9.82
CRWD,2025,2025-10-08,2025-11-18,ATR_stop,128.35,71,-30.32,-0.33
MSFT,2023,2023-03-14,2023-04-25,ATR_stop,275.28,46,567.6,4.69
MSFT,2023,2023-05-05,2023-06-07,ATR_stop,323.22,39,455.87,3.75
MSFT,2023,2023-06-14,2023-06-21,ATR_stop,333.39,22,-90.54,-1.22
MSFT,2023,2023-07-18,2023-07-21,ATR_stop,343.6,20,-321.43,-4.47
MSFT,2023,2023-09-08,2023-09-18,below_EMA50,328.9,39,-291.47,-2.22
MSFT,2023,2023-10-25,2023-12-04,ATR_stop,368.96,34,880.28,7.55
MSFT,2024,2024-01-16,2024-01-31,ATR_stop,397.38,19,131.41,1.77
MSFT,2024,2024-02-09,2024-02-16,ATR_stop,403.86,17,-287.34,-4.02
MSFT,2024,2024-05-21,2024-05-30,ATR_stop,414.46,30,-463.0,-3.59
MSFT,2024,2024-06-12,2024-07-12,ATR_stop,453.32,28,249.43,2.0
MSFT,2024,2024-10-29,2024-10-31,ATR_stop,406.15,29,-761.52,-6.07
MSFT,2024,2024-12-04,2024-12-18,ATR_stop,437.17,28,-75.52,-0.61
MSFT,2025,2025-05-15,2025-08-19,ATR_stop,509.52,20,1110.62,12.23
MSFT,2025,2025-10-06,2025-10-10,ATR_stop,510.7,14,-253.82,-3.43
MSFT,2025,2025-10-27,2025-10-31,ATR_stop,517.55,14,-199.29,-2.68
MU,2023,2023-03-29,2023-04-04,ATR_stop,57.24,65,-411.48,-9.96
MU,2023,2023-05-18,2023-05-31,ATR_stop,68.17,125,-35.87,-0.42
MU,2023,2023-07-27,2023-08-08,ATR_stop,67.62,79,-275.66,-4.91
MU,2023,2023-08-31,2023-09-21,ATR_stop,67.87,134,-345.42,-3.66
MU,2023,2023-11-02,2023-12-04,ATR_stop,74.25,121,341.48,3.95
MU,2023,2023-12-14,2023-12-29,period_end,85.3,116,194.39,2.0
MU,2024,2024-01-19,2024-02-06,ATR_stop,84.56,120,-449.53,-4.24
MU,2024,2024-02-27,2024-03-14,ATR_stop,91.38,96,-184.49,-2.06
MU,2024,2024-03-21,2024-04-17,ATR_stop,116.27,76,19.93,0.23
MU,2024,2024-05-15,2024-06-21,ATR_stop,139.47,63,727.77,9.03
MU,2025,2025-06-10,2025-07-14,ATR_stop,118.55,70,122.26,1.5
MU,2025,2025-08-11,2025-08-20,ATR_stop,117.15,62,-523.99,-6.73
MU,2025,2025-09-04,2025-11-19,ATR_stop,225.81,46,3375.78,48.15
MU,2025,2025-12-10,2025-12-16,ATR_stop,232.39,12,-377.38,-11.92
MU,2025,2025-12-19,2025-12-31,period_end,285.27,21,118.86,2.02
ON,2023,2023-01-26,2023-02-21,ATR_stop,79.24,97,348.49,4.75
ON,2023,2023-05-12,2023-05-24,ATR_stop,79.75,123,-304.21,-3.01
ON,2023,2023-05-26,2023-07-20,ATR_stop,97.25,88,542.25,6.76
ON,2023,2023-07-28,2023-08-09,ATR_stop,99.04,80,-581.31,-6.84
ON,2024,2024-08-30,2024-09-03,ATR_stop,70.72,50,-359.22,-9.22
ON,2025,2025-07-08,2025-07-24,ATR_stop,55.41,140,-436.68,-5.33
ON,2025,2025-10-21,2025-10-24,below_EMA50,50.68,55,-243.26,-8.03
QQQ,2023,2023-03-16,2023-06-26,ATR_stop,357.5,36,915.71,7.66
QQQ,2023,2023-07-12,2023-07-21,ATR_stop,375.44,20,48.72,0.65
QQQ,2023,2023-11-10,2023-12-29,period_end,409.32,20,614.72,8.12
QQQ,2024,2024-01-18,2024-01-31,ATR_stop,416.76,18,64.17,0.86
QQQ,2024,2024-02-02,2024-02-21,ATR_stop,425.4,30,-219.39,-1.69
QQQ,2024,2024-05-15,2024-05-31,ATR_stop,450.48,16,-42.27,-0.58
