ticker,year,entry_date,exit_date,reason,exit_price,shares,pnl,return_pct
NVDA,2023,2023-01-20,2023-08-02,profit_lock,44.25,346,7219.95,89.25
NVDA,2023,2023-10-06,2023-10-17,below_EMA50,43.92,274,-658.83,-5.19
NVDA,2023,2023-11-09,2023-12-04,below_EMA50,45.49,233,-497.33,-4.48
NVDA,2024,2024-01-08,2024-04-04,profit_lock,85.86,119,2914.55,39.91
NVDA,2024,2024-05-15,2024-07-18,profit_lock,121.03,80,1695.36,21.23
NVDA,2024,2024-08-19,2024-08-29,below_EMA50,117.53,22,-275.74,-9.64
NVDA,2024,2024-10-07,2024-11-27,below_EMA50,135.27,72,368.47,3.93
NVDA,2025,2025-01-03,2025-01-10,below_EMA50,135.84,51,-562.81,-7.51
NVDA,2025,2025-06-24,2025-09-05,below_EMA50,166.94,61,951.49,10.31
NVDA,2025,2025-09-30,2025-11-18,below_EMA50,181.27,50,-402.04,-4.25
AMD,2023,2023-03-07,2023-04-24,below_EMA50,87.53,102,-20.38,-0.23
AMD,2023,2023-05-10,2023-06-26,below_EMA50,107.46,68,424.29,6.16
AMD,2023,2023-11-10,2023-12-29,period_end,147.34,79,1731.5,17.48
AMD,2024,2024-01-16,2024-04-04,below_EMA50,165.75,38,233.21,3.85
AMD,2024,2024-07-08,2024-07-17,hard_stop,159.35,42,-916.2,-12.04
AMD,2024,2024-10-08,2024-10-15,below_EMA50,156.56,26,-424.44,-9.44
AMD,2024,2024-10-29,2024-10-30,hard_stop,148.53,27,-480.8,-10.71
AMD,2025,2025-06-24,2025-09-05,below_EMA50,151.06,63,174.53,1.87
AMD,2025,2025-10-02,2025-11-20,below_EMA50,205.92,29,-294.85,-4.71
AAPL,2023,2023-03-06,2023-08-03,profit_lock,191.07,63,2276.88,23.33
AAPL,2023,2023-11-10,2023-12-29,period_end,192.43,43,255.44,3.19
AAPL,2024,2024-06-07,2024-08-05,below_EMA50,209.17,54,-54.19,-0.48
AAPL,2024,2024-08-15,2024-09-16,below_EMA50,216.21,49,-559.36,-5.02
AAPL,2024,2024-10-15,2024-10-31,below_EMA50,225.8,54,-467.64,-3.69
AAPL,2024,2024-12-04,2024-12-31,period_end,250.29,51,283.01,2.27
AAPL,2025,2025-02-24,2025-02-27,below_EMA50,237.18,30,-301.27,-4.06
AAPL,2025,2025-09-03,2025-12-31,period_end,271.72,44,1427.79,13.56
META,2023,2023-03-03,2023-07-21,profit_lock,294.11,39,2181.45,23.48
META,2023,2023-07-28,2023-08-17,hard_stop,284.95,15,-610.43,-12.5
META,2023,2023-09-14,2023-09-21,below_EMA50,295.58,19,-309.58,-5.22
META,2023,2023-10-11,2023-10-25,below_EMA50,299.38,18,-514.87,-8.72
META,2023,2023-11-10,2023-12-05,below_EMA50,318.13,31,-340.79,-3.34
META,2024,2024-01-10,2024-03-15,profit_lock,483.86,28,3109.35,29.79
META,2024,2024-04-05,2024-04-19,below_EMA50,480.83,12,-561.29,-8.87
META,2024,2024-06-05,2024-07-15,below_EMA50,495.91,16,9.67,0.12
META,2024,2024-09-17,2024-11-15,below_EMA50,553.8,21,156.39,1.36
META,2024,2024-12-03,2024-12-20,below_EMA50,584.96,20,-671.11,-5.43
META,2025,2025-01-24,2025-03-03,below_EMA50,654.72,13,15.44,0.18
META,2025,2025-06-02,2025-09-26,below_EMA50,743.38,13,818.44,9.25
GOOGL,2023,2023-04-06,2023-07-10,below_EMA50,116.39,80,613.14,7.05
GOOGL,2023,2023-07-26,2023-09-21,below_EMA50,130.37,88,-48.04,-0.42
GOOGL,2023,2023-10-06,2023-10-25,below_EMA50,125.55,89,-1195.9,-9.67
GOOGL,2024,2024-01-19,2024-01-31,below_EMA50,140.03,51,-327.59,-4.39
GOOGL,2024,2024-04-01,2024-07-24,below_EMA50,172.54,62,1012.53,10.45
GOOGL,2024,2024-10-30,2024-11-21,below_EMA50,167.55,42,-294.04,-4.01
GOOGL,2024,2024-12-10,2024-12-31,period_end,189.21,60,-19.31,-0.17
GOOGL,2025,2025-01-06,2025-02-07,below_EMA50,185.25,53,-800.06,-7.53
GOOGL,2025,2025-07-18,2025-10-09,profit_lock,241.41,52,2784.16,28.5
GOOGL,2025,2025-10-27,2025-12-31,period_end,312.84,33,1338.03,14.89
AMZN,2023,2023-04-27,2023-08-17,profit_lock,133.91,64,1525.11,21.65
AMZN,2023,2023-08-31,2023-09-21,below_EMA50,129.27,55,-484.75,-6.38
AMZN,2023,2023-11-07,2023-12-29,period_end,151.86,70,607.72,6.06
AMZN,2024,2024-01-11,2024-04-19,below_EMA50,174.54,72,610.33,5.1
AMZN,2024,2024-06-21,2024-07-17,below_EMA50,187.84,40,-53.54,-0.71
AMZN,2024,2024-09-19,2024-10-03,below_EMA50,181.87,57,-506.47,-4.66
AMZN,2024,2024-10-29,2024-12-31,period_end,219.28,54,877.0,8.0
AMZN,2025,2025-01-21,2025-02-20,below_EMA50,222.77,50,-497.49,-4.28
AMZN,2025,2025-07-11,2025-08-01,below_EMA50,214.64,56,-690.21,-5.43
AMZN,2025,2025-09-04,2025-09-23,below_EMA50,220.6,30,-455.95,-6.45
AMZN,2025,2025-10-31,2025-11-18,hard_stop,222.44,36,-945.08,-10.56
