ticker,year,entry_date,exit_date,reason,exit_price,shares,pnl,return_pct
AMKR,2025,2025-09-08,2025-11-18,below_EMA50,30.67,242,389.55,5.54
AMKR,2025,2025-12-01,2025-12-31,period_end,39.46,179,-282.48,-3.85
AVGO,2025,2025-01-21,2025-01-27,hard_stop,202.03,18,-691.22,-15.97
AVGO,2025,2025-05-13,2025-08-19,profit_lock,294.76,28,1690.63,25.76
AVGO,2025,2025-09-05,2025-11-13,below_EMA50,339.81,21,-212.47,-2.89
AVGO,2025,2025-11-25,2025-12-12,hard_stop,359.75,23,-951.71,-10.32
COHR,2025,2025-06-26,2025-08-14,below_EMA50,91.6,97,-564.18,-5.97
COHR,2025,2025-09-15,2025-12-31,period_end,184.48,43,2156.61,37.34
CRWD,2025,2025-01-06,2025-01-13,below_EMA50,85.32,41,-258.85,-6.89
CRWD,2025,2025-01-28,2025-02-25,below_EMA50,94.89,70,-622.96,-8.57
CRWD,2025,2025-04-24,2025-07-23,below_EMA50,115.32,64,408.22,5.85
CRWD,2025,2025-10-08,2025-11-20,below_EMA50,125.26,69,-242.01,-2.72
MSFT,2025,2025-05-15,2025-09-05,below_EMA50,494.75,20,815.37,8.98
MSFT,2025,2025-10-06,2025-11-04,below_EMA50,514.07,25,-401.5,-3.03
MU,2025,2025-06-10,2025-07-22,below_EMA50,109.17,70,-534.71,-6.54
MU,2025,2025-08-11,2025-11-19,profit_lock,225.81,54,3707.36,43.69
MU,2025,2025-12-10,2025-12-16,hard_stop,232.39,12,-377.38,-11.92
MU,2025,2025-12-19,2025-12-31,period_end,285.27,21,118.86,2.02
ON,2025,2025-07-08,2025-08-04,hard_stop,47.95,140,-1481.95,-18.08
ON,2025,2025-10-21,2025-10-24,below_EMA50,50.68,53,-234.41,-8.03
QQQ,2025,2025-02-13,2025-02-24,below_EMA50,519.61,13,-215.25,-3.09
QQQ,2025,2025-06-27,2025-11-17,below_EMA50,603.36,19,963.25,9.17
QQQ,2025,2025-12-05,2025-12-17,below_EMA50,600.11,12,-308.2,-4.1
TSLA,2025,2025-08-08,2025-08-21,below_EMA50,319.95,20,-281.76,-4.22
TSLA,2025,2025-09-11,2025-11-13,below_EMA50,401.79,22,33.09,0.38
TSLA,2025,2025-12-12,2025-12-31,period_end,449.5,19,-331.42,-3.74
TSM,2025,2025-01-03,2025-01-27,hard_stop,192.21,42,-909.73,-10.13
TSM,2025,2025-06-04,2025-08-20,below_EMA50,228.49,45,1146.73,12.55
TSM,2025,2025-09-08,2025-11-13,below_EMA50,282.06,36,1176.19,13.1
TSM,2025,2025-12-08,2025-12-16,below_EMA50,286.73,32,-512.53,-5.29
TSM,2025,2025-12-31,2025-12-31,period_end,303.74,20,-6.08,-0.1
