ticker,year,entry_date,exit_date,reason,exit_price,shares,pnl,return_pct
AMKR,2025,2025-09-08,2025-10-10,ATR_stop,28.25,328,1108.93,13.6
AMKR,2025,2025-10-27,2025-11-13,ATR_stop,31.93,181,-582.86,-9.16
AMKR,2025,2025-12-01,2025-12-16,ATR_stop,40.26,168,-133.73,-1.94
AVGO,2025,2025-01-21,2025-01-27,ATR_stop,202.03,18,-691.22,-15.97
AVGO,2025,2025-05-13,2025-06-09,ATR_stop,244.16,34,343.43,4.32
AVGO,2025,2025-06-24,2025-08-19,ATR_stop,294.76,28,637.91,8.38
AVGO,2025,2025-09-05,2025-09-22,ATR_stop,338.62,20,-206.32,-2.96
AVGO,2025,2025-10-28,2025-11-04,ATR_stop,351.76,19,-523.61,-7.27
AVGO,2025,2025-11-25,2025-12-12,ATR_stop,359.75,22,-904.97,-10.26
COHR,2025,2025-06-26,2025-08-14,ATR_stop,91.6,97,-564.18,-5.97
COHR,2025,2025-09-15,2025-10-14,ATR_stop,109.32,79,-312.64,-3.49
COHR,2025,2025-10-24,2025-11-13,ATR_stop,139.9,46,-44.27,-0.68
COHR,2025,2025-12-04,2025-12-16,ATR_stop,175.11,33,-337.24,-5.51
CRWD,2025,2025-01-06,2025-01-13,below_EMA50,85.32,41,-258.85,-6.89
CRWD,2025,2025-01-28,2025-02-21,ATR_stop,101.62,70,-151.92,-2.09
CRWD,2025,2025-04-24,2025-07-11,ATR_stop,119.55,65,694.95,9.82
CRWD,2025,2025-10-08,2025-11-18,ATR_stop,128.35,71,-30.32,-0.33
MSFT,2025,2025-05-15,2025-08-19,ATR_stop,509.52,20,1110.62,12.23
MSFT,2025,2025-10-06,2025-10-10,ATR_stop,510.7,14,-253.82,-3.43
MSFT,2025,2025-10-27,2025-10-31,ATR_stop,517.55,14,-199.29,-2.68
MU,2025,2025-06-10,2025-07-14,ATR_stop,118.55,70,122.26,1.5
MU,2025,2025-08-11,2025-08-20,ATR_stop,117.15,62,-523.99,-6.73
MU,2025,2025-09-04,2025-11-19,ATR_stop,225.81,46,3375.78,48.15
MU,2025,2025-12-10,2025-12-16,ATR_stop,232.39,12,-377.38,-11.92
MU,2025,2025-12-19,2025-12-31,period_end,285.27,21,118.86,2.02
ON,2025,2025-07-08,2025-07-24,ATR_stop,55.41,140,-436.68,-5.33
ON,2025,2025-10-21,2025-10-24,below_EMA50,50.68,55,-243.26,-8.03
QQQ,2025,2025-02-13,2025-02-24,ATR_stop,519.61,13,-215.25,-3.09
QQQ,2025,2025-06-27,2025-08-01,ATR_stop,553.6,23,38.86,0.31
QQQ,2025,2025-08-12,2025-08-20,ATR_stop,565.62,21,-311.79,-2.56
QQQ,2025,2025-09-18,2025-10-10,ATR_stop,589.21,21,-170.95,-1.36
QQQ,2025,2025-10-27,2025-11-06,ATR_stop,611.36,19,-362.42,-3.03
QQQ,2025,2025-12-05,2025-12-17,ATR_stop,600.11,19,-505.02,-4.24
TSLA,2025,2025-08-08,2025-08-21,below_EMA50,319.95,20,-281.76,-4.22
TSLA,2025,2025-09-11,2025-10-10,ATR_stop,413.28,22,285.96,3.25
TSLA,2025,2025-10-23,2025-11-07,ATR_stop,429.31,14,-414.39,-6.45
TSLA,2025,2025-12-12,2025-12-29,ATR_stop,459.41,19,-143.03,-1.61
TSM,2025,2025-01-03,2025-01-13,ATR_stop,201.26,42,-529.82,-5.9
TSM,2025,2025-06-04,2025-08-05,ATR_stop,232.35,46,1349.71,14.45
TSM,2025,2025-09-08,2025-10-10,ATR_stop,280.52,36,1120.78,12.48
TSM,2025,2025-12-08,2025-12-15,ATR_stop,287.6,32,-484.71,-5.0
TSM,2025,2025-12-31,2025-12-31,period_end,303.74,20,-6.08,-0.1
